ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P1001A_1,P1001A_2A_1,P1001A_2A_2,P1001A_2B_1,P1001A_2B_2,P1001A_2A_1C,P1001A_2A_2C,P1001A_2B_1C,P1001A_2B_2C,P1001A_3,P1001A_4,P1001A_5,P1001A_5A,P1001A_5B,P1001A_6A,P1001A_6B,P1001A_6C,P1001A_TOTAL,P1002B_1,P1002B_2,P1002B_3,P1002B_4,P1002B_5,P1002B_6,P1002B_7A_1,P1002B_7A_2,P1002B_7B_1,P1002B_7B_2,P1002B_7A_1C,P1002B_7A_2C,P1002B_7B_1C,P1002B_7B_2C,P1002B_8,P1002B_9,P1002B_9A,P1002B_9B,P1002B_10A,P1002B_10B,P1002B_TOTAL,P1000_TOTAL,OMICAP1000
2021,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00130,8,1,3,7,54.7628205128205,1,1,1,0,0,0,1000,200, , ,10,5,0,0,3409,0,0,0,0,0,4609,2000,50,100,80,0,0,0,0,0,0, , , , ,900,0,0,0,0,0,3130,7739, 
2021,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00140,9,1,3,7,54.7628205128205,1,1,1,0,0,0,0,0, , , , ,0,0,0,0,0,0,15,60,75,300,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,300,375, 
2021,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00162,10,1,3,7,54.7628205128205,1,1,0,0,0,0,300,0, , ,2, ,0,0,0,0,0,0,0,30,330, , , , , , , , , , , , , , , , , , , , , ,330, 
2021,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00188,11,1,3,7,54.7628205128205,1,1,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,200,48,248, , , , , , , , , , , , , , , , , , , , , ,248, 
2021,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00198,12,1,3,7,54.7628205128205,1,1,1,0,0,0,0,0, , , , ,0,0,0,0,0,0,50,50,100,2000,0,0,50,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,2050,2150, 
2021,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00207,13,1,3,7,54.7628205128205,1,1,1,0,0,0,0,0, , , , ,0,0,0,0,0,0,30,70,100,500,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,500,600, 
2021,21,PUNO,03,CARABAYA,03,AYAPATA,16837,00003,1,1,2,6,170.00873015873,1,1,1,0,0,0,3360,900, , ,3,3,0,0,151,0,0,0,0,80,4491,310,0,0,10,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,320,4811, 
2021,21,PUNO,03,CARABAYA,03,AYAPATA,16837,00004,2,1,2,6,170.00873015873,1,1,0,0,0,0,1200,600, , ,4,4,0,0,0,0,0,0,0,0,1800, , , , , , , , , , , , , , , , , , , , , ,1800, 
2021,21,PUNO,03,CARABAYA,03,AYAPATA,16837,00018,3,1,2,6,170.00873015873,1,1,1,0,0,0,3000,0, , ,5, ,0,0,87,0,0,0,0,0,3087,1600,0,0,10,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,1610,4697, 
2021,21,PUNO,03,CARABAYA,03,AYAPATA,16837,00019,4,1,2,6,170.00873015873,1,1,1,0,0,0,3750,0, , ,11, ,0,0,0,0,0,0,0,0,3750,520,0,0,10,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,530,4280, 
2021,21,PUNO,03,CARABAYA,03,AYAPATA,16837,00028,5,1,2,6,170.00873015873,1,1,0,0,0,0,1320,960, , ,4,4,0,0,0,0,0,0,0,0,2280, , , , , , , , , , , , , , , , , , , , , ,2280, 
2021,21,PUNO,03,CARABAYA,03,AYAPATA,16837,00037,6,1,2,6,170.00873015873,1,1,0,0,0,0,1680,840, , ,4,3,0,0,0,0,0,0,0,0,2520, , , , , , , , , , , , , , , , , , , , , ,2520, 
2021,21,PUNO,03,CARABAYA,03,AYAPATA,16837,00047,7,1,2,6,170.00873015873,1,1,0,0,0,0,480,300, , ,2,2,0,0,0,0,0,0,0,0,780, , , , , , , , , , , , , , , , , , , , , ,780, 
2021,21,PUNO,03,CARABAYA,03,AYAPATA,16837,00059,8,1,2,6,170.00873015873,1,1,0,0,0,0,300,0, , ,6, ,0,0,0,0,0,0,0,0,300, , , , , , , , , , , , , , , , , , , , , ,300, 
2021,21,PUNO,03,CARABAYA,03,AYAPATA,16837,00063,9,1,2,6,170.00873015873,1,1,1,0,0,0,500,1200, , ,5,4,0,0,40,0,0,0,0,0,1740,480,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,480,2220, 
2021,21,PUNO,03,CARABAYA,03,AYAPATA,16837,00068,10,1,2,6,170.00873015873,1,1,0,0,0,0,1920,1800, , ,4,3,0,0,394,0,0,0,0,0,4114, , , , , , , , , , , , , , , , , , , , , ,4114, 
2021,21,PUNO,03,CARABAYA,03,AYAPATA,16837,00078,11,1,2,6,170.00873015873,1,1,0,0,0,0,1000,0, , ,2, ,0,0,0,0,0,0,0,0,1000, , , , , , , , , , , , , , , , , , , , , ,1000, 
2021,21,PUNO,03,CARABAYA,03,AYAPATA,16837,00088,12,1,2,6,170.00873015873,1,1,0,0,0,0,1080,500, , ,5,2,0,0,0,0,0,80,0,0,1660, , , , , , , , , , , , , , , , , , , , , ,1660, 
2021,21,PUNO,03,CARABAYA,03,AYAPATA,16837,00095,13,1,2,6,170.00873015873,1,1,0,0,0,0,480,1440, , ,2,3,0,0,0,0,0,0,0,0,1920, , , , , , , , , , , , , , , , , , , , , ,1920, 
2021,21,PUNO,03,CARABAYA,03,AYAPATA,16837,00103,14,1,2,6,170.00873015873,1,1,1,0,0,0,960,1920, , ,2,4,0,0,0,0,0,0,0,0,2880,480,0,0,0,5,0,0,0,0,0, , , , ,0,0,0,0,0,0,485,3365, 
2021,21,PUNO,03,CARABAYA,03,AYAPATA,16843,00012,1,1,2,6,170.00873015873,1,1,1,100,0,0,0,0, , , , ,0,0,30,0,0,0,0,0,130,1000,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,1000,1130, 
